Species,Date,Rep,Type,Count
Ocu,8/1/18,a,Control1,10
Ocu,8/1/18,b,Control1,5
Ocu,8/1/18,c,Control1,4
Ocu,8/1/18,a,Control2,1
Ocu,8/1/18,b,Control2,4
Ocu,8/1/18,c,Control2,12
Ocu,8/1/18,a,Low1,7
Ocu,8/1/18,b,Low1,3
Ocu,8/1/18,c,Low1,5
Ocu,8/1/18,a,Low2,5
Ocu,8/1/18,b,Low2,4
Ocu,8/1/18,c,Low2,15
Ocu,8/1/18,a,High1,8
Ocu,8/1/18,b,High1,10
Ocu,8/1/18,c,High1,1
Ocu,8/1/18,a,High2,1
Ocu,8/1/18,b,High2,10
Ocu,8/1/18,c,High2,5
Mac,8/1/18,a,Control1,43
Mac,8/1/18,b,Control1,42
Mac,8/1/18,c,Control1,151
Mac,8/1/18,a,Control2,42
Mac,8/1/18,b,Control2,36
Mac,8/1/18,c,Control2,97
Mac,8/1/18,a,Low1,30
Mac,8/1/18,b,Low1,45
Mac,8/1/18,c,Low1,34
Mac,8/1/18,a,Low2,33
Mac,8/1/18,b,Low2,53
Mac,8/1/18,c,Low2,45
Mac,8/1/18,a,High1,41
Mac,8/1/18,b,High1,63
Mac,8/1/18,c,High1,23
Mac,8/1/18,a,High2,74
Mac,8/1/18,b,High2,75
Mac,8/1/18,c,High2,35
Ocu,8/2/18,a,Control1,21
Ocu,8/2/18,b,Control1,18
Ocu,8/2/18,c,Control1,17
Ocu,8/2/18,a,Control2,11
Ocu,8/2/18,b,Control2,11
Ocu,8/2/18,c,Control2,18
Ocu,8/2/18,a,Low1,6
Ocu,8/2/18,b,Low1,11
Ocu,8/2/18,c,Low1,9
Ocu,8/2/18,a,Low2,9
Ocu,8/2/18,b,Low2,10
Ocu,8/2/18,c,Low2,6
Ocu,8/2/18,a,High1,20
Ocu,8/2/18,b,High1,10
Ocu,8/2/18,c,High1,18
Ocu,8/2/18,a,High2,17
Ocu,8/2/18,b,High2,10
Ocu,8/2/18,c,High2,12
Mac,8/2/18,a,Control1,50
Mac,8/2/18,b,Control1,98
Mac,8/2/18,c,Control1,106
Mac,8/2/18,a,Control2,85
Mac,8/2/18,b,Control2,85
Mac,8/2/18,c,Control2,91
Mac,8/2/18,a,Low1,75
Mac,8/2/18,b,Low1,68
Mac,8/2/18,c,Low1,92
Mac,8/2/18,a,Low2,70
Mac,8/2/18,b,Low2,64
Mac,8/2/18,c,Low2,84
Mac,8/2/18,a,High1,62
Mac,8/2/18,b,High1,101
Mac,8/2/18,c,High1,71
Mac,8/2/18,a,High2,56
Mac,8/2/18,b,High2,77
Mac,8/2/18,c,High2,64
Ocu,8/3/18,a,Control1,3
Ocu,8/3/18,b,Control1,5
Ocu,8/3/18,c,Control1,6
Ocu,8/3/18,a,Control2,12
Ocu,8/3/18,b,Control2,7
Ocu,8/3/18,c,Control2,13
Ocu,8/3/18,a,Low1,8
Ocu,8/3/18,b,Low1,13
Ocu,8/3/18,c,Low1,8
Ocu,8/3/18,a,Low2,6
Ocu,8/3/18,b,Low2,2
Ocu,8/3/18,c,Low2,5
Ocu,8/3/18,a,High1,9
Ocu,8/3/18,b,High1,13
Ocu,8/3/18,c,High1,4
Ocu,8/3/18,a,High2,5
Ocu,8/3/18,b,High2,5
Ocu,8/3/18,c,High2,9
Mac,8/3/18,a,Control1,70
Mac,8/3/18,b,Control1,92
Mac,8/3/18,c,Control1,79
Mac,8/3/18,a,Control2,139
Mac,8/3/18,b,Control2,37
Mac,8/3/18,c,Control2,66
Mac,8/3/18,a,Low1,58
Mac,8/3/18,b,Low1,115
Mac,8/3/18,c,Low1,81
Mac,8/3/18,a,Low2,77
Mac,8/3/18,b,Low2,90
Mac,8/3/18,c,Low2,63
